task_id,task_description,creation_date,due_date,priority,task_category,assigned_to,estimated_effort_hours,user_preferred_categories,user_current_workload
823,Schedule meeting with CEO.,2025-05-23,2025-06-08,High,Admin,Natalie,10,Finance,7
824,Build prototype for edge AI.,2025-03-18,,Critical,Research,Frank,12,"HR, Support",6
825,Onboard new hire John Doe.,2025-03-10,2025-03-12,Low,HR,Emily,2,"HR, Finance",1
826,Assist with subscription.,2025-04-11,2025-04-16,Critical,Support,Henry,1,"Admin, Support",8
827,Organize legal files.,2025-07-15,2025-07-25,Medium,Admin,Charlie,5,"Marketing, Admin",4
828,Audit petty cash expenses.,2025-05-19,2025-06-02,High,Finance,Peter,5,Development,8
829,Optimize encryption performance.,2025-06-23,,Critical,Development,Liam,5,Development,0
830,Build prototype for edge AI.,2025-07-12,2025-07-15,Low,Research,Jessica,2,HR,7
831,Schedule interview for Marketer.,2025-04-06,2025-04-19,Critical,HR,Victor,3,"HR, Finance",1
832,Fix bug #210 in UI.,2025-05-10,,Low,Development,Rachel,8,"Research, Development",2
833,Build prototype for edge AI.,2025-04-23,2025-04-24,Medium,Research,Quinn,4,Research,2
834,Schedule meeting with CEO.,2025-04-08,2025-04-22,Medium,Admin,Zoe,11,Admin,1
835,Schedule interview for Dev.,2025-04-28,2025-05-13,Medium,HR,Eve,6,"Finance, HR",5
836,Explore trends in tech.,2025-04-14,2025-05-02,Low,Research,Quinn,7,Research,2
837,Deploy v1.7 to production.,2025-07-09,,Critical,Development,Kevin,2,Development,7
838,Fix bug #550 in UI.,2025-07-25,2025-08-03,Low,Development,Ivy,8,Admin,4
839,Schedule interview for Marketer.,2025-02-07,,High,HR,Eve,8,"Finance, HR",5
840,Fix bug #155 in auth.,2025-03-10,2025-03-22,High,Development,Xavier,7,Development,3
841,Process payroll for Jan.,2025-04-22,2025-05-18,Critical,Finance,Frank,12,"HR, Support",6
842,Optimize search performance.,2025-03-30,,Low,Development,Liam,12,Development,0
843,Schedule meeting with CEO.,2025-06-11,2025-06-15,Medium,Admin,Charlie,10,"Marketing, Admin",4
844,Prepare pitch for ServiceX.,2025-05-22,2025-05-29,High,Marketing,Sam,1,Research,1
845,Schedule interview for Marketer.,2025-01-30,,Critical,HR,Victor,10,"HR, Finance",1
846,Resolve ticket #TKT-5228 on login.,2025-03-21,2025-03-25,Medium,Support,Emily,3,"HR, Finance",1
847,Prepare pitch for ServiceX.,2025-04-25,2025-04-28,Medium,Marketing,Yara,10,"Admin, Development",6
848,Explore trends in tech.,2025-03-15,2025-03-21,Low,Research,Mark,10,"Research, Development",0
849,Implement dashboard in API.,2025-07-14,2025-07-19,Medium,Development,David,3,Development,6
850,Analyze QQ3 campaign data.,2025-02-22,2025-03-05,Critical,Marketing,Karen,4,Support,7
851,Prepare pitch for ServiceX.,2025-07-13,2025-07-29,Low,Marketing,Henry,9,"Admin, Support",8
852,Fix bug #319 in auth.,2025-07-11,2025-07-26,Critical,Development,Tina,1,Development,0
853,Refactor auth module.,2025-03-20,2025-04-16,Medium,Development,Kevin,2,Development,7
854,Follow up with Customer B.,2025-02-06,2025-03-01,Low,Support,David,2,Development,6
855,Fix bug #486 in UI.,2025-05-05,2025-06-01,High,Development,Charlie,4,"Marketing, Admin",4
856,Reconcile travel fund records.,2025-07-18,,High,Finance,Felix,6,Finance,6
857,Deploy v1.7 to production.,2025-06-17,2025-07-09,Low,Development,David,8,Development,6
858,Manage supplies for HQ.,2025-05-23,2025-05-28,High,Admin,Charlie,6,"Marketing, Admin",4
859,Process payroll for Jan.,2025-06-29,2025-07-21,Medium,Finance,Eve,2,"Finance, HR",5
860,Fix bug #210 in UI.,2025-04-15,2025-05-09,Low,Development,David,2,Development,6
861,Follow up with Customer B.,2025-04-24,,Low,Support,Hannah,4,Research,1
862,Audit petty cash expenses.,2025-01-29,2025-02-09,Medium,Finance,Ben,5,Finance,8
863,Organize legal files.,2025-02-06,2025-02-20,Low,Admin,Zoe,10,Admin,1
864,Implement login in backend.,2025-07-05,,Critical,Development,Yara,1,"Admin, Development",6
865,Audit travel fund expenses.,2025-02-09,2025-02-21,High,Finance,Victor,6,"HR, Finance",1
866,Schedule interview for Marketer.,2025-02-05,2025-02-28,High,HR,Eve,11,"Finance, HR",5
867,Deploy v1.7 to production.,2025-07-07,2025-07-14,Critical,Development,David,3,Development,6
868,Audit travel fund expenses.,2025-07-25,2025-08-03,Low,Finance,Sam,4,Research,1
869,Schedule interview for Marketer.,2025-04-18,2025-05-14,Critical,HR,Alice,2,Admin,3
870,Update records for address update.,2025-02-25,2025-03-05,High,HR,Isaac,3,"Marketing, HR",2
871,Reconcile travel fund records.,2025-07-24,2025-08-20,Low,Finance,Tina,10,Development,0
872,Process payroll for Jan.,2025-02-12,2025-02-23,Medium,Finance,Isaac,8,"Marketing, HR",2
873,Update travel log for Sarah D..,2025-04-26,2025-05-08,Medium,Admin,Yara,9,"Admin, Development",6
874,Refactor auth module.,2025-07-20,2025-07-29,High,Development,Felix,2,Finance,6
875,Prepare pitch for ServiceX.,2025-03-17,2025-03-25,High,Marketing,Sam,9,Research,1
876,Manage supplies for Branch A.,2025-03-09,2025-03-17,Critical,Admin,Isaac,7,"Marketing, HR",2
877,Write review on DL models.,2025-04-27,2025-04-28,Critical,Research,Eve,9,"Finance, HR",5
878,Build prototype for edge AI.,2025-05-15,2025-06-14,High,Research,Quinn,10,Research,2
879,Implement login in backend.,2025-05-15,2025-05-24,Low,Development,Karen,12,Support,7
880,Optimize encryption performance.,2025-06-11,2025-07-09,High,Development,Tina,6,Development,0
881,Build prototype for edge AI.,2025-04-05,2025-05-04,Critical,Research,Alice,5,Admin,3
882,Organize legal files.,2025-05-02,,Critical,Admin,Ivy,5,Admin,4
883,Process payroll for Feb.,2025-05-24,2025-06-19,Low,Finance,Alice,2,Admin,3
884,Reconcile petty cash records.,2025-03-23,2025-04-11,Low,Finance,Natalie,1,Finance,7
885,Follow up with Client A.,2025-04-08,2025-04-29,Critical,Support,Karen,12,Support,7
886,Update records for address update.,2025-07-25,2025-08-11,Low,HR,Hannah,12,Research,1
887,Analyze QQ4 campaign data.,2025-03-07,2025-03-17,High,Marketing,Xavier,4,Development,3
888,Schedule meeting with CEO.,2025-07-13,2025-07-21,Medium,Admin,Zoe,11,Admin,1
889,Update travel log for Sarah D..,2025-04-19,2025-04-20,High,Admin,Victor,7,"HR, Finance",1
890,Research Vision methods.,2025-06-08,2025-06-14,High,Research,Emily,11,"HR, Finance",1
891,Update records for address update.,2025-04-25,2025-05-12,Critical,HR,Alex,6,Research,8
892,Audit petty cash expenses.,2025-06-14,2025-07-07,High,Finance,Ben,12,Finance,8
893,Analyze QQ4 campaign data.,2025-02-03,,Critical,Marketing,Grace,1,Marketing,0
894,Build prototype for edge AI.,2025-07-13,,High,Research,Rachel,11,"Research, Development",2
895,Write review on ML trends.,2025-05-15,2025-05-25,Critical,Research,Hannah,10,Research,1
896,Refactor auth module.,2025-06-11,2025-07-01,Low,Development,Noah,11,"Research, Development",4
897,Optimize encryption performance.,2025-06-27,2025-07-18,Low,Development,David,5,Development,6
898,Optimize search performance.,2025-02-06,2025-02-23,Medium,Development,Liam,10,Development,0
899,Build prototype for edge AI.,2025-02-03,2025-02-19,Low,Research,Mark,1,"Research, Development",0
900,Plan HR activity for Q4.,2025-05-24,,Low,HR,Jack,6,Admin,8
901,Schedule interview for Dev.,2025-01-26,2025-01-28,Medium,HR,Isaac,4,"Marketing, HR",2
902,Reconcile petty cash records.,2025-07-25,,Critical,Finance,Oscar,10,Finance,2
903,Draft newsletter on company news.,2025-06-10,2025-07-04,Low,Marketing,Frank,3,"HR, Support",6
904,Explore trends in tech.,2025-03-05,2025-03-27,High,Research,Mia,10,Research,0
905,Schedule interview for Dev.,2025-02-26,2025-03-23,Low,HR,Emily,9,"HR, Finance",1
906,Analyze QQ3 campaign data.,2025-03-21,2025-03-29,Medium,Marketing,David,1,Development,6
907,Schedule interview for Marketer.,2025-05-06,2025-06-04,Medium,HR,Victor,12,"HR, Finance",1
908,Draft newsletter on company news.,2025-05-04,,High,Marketing,Charlie,7,"Marketing, Admin",4
909,Audit travel fund expenses.,2025-04-30,2025-05-12,Low,Finance,Natalie,7,Finance,7
910,Explore trends in finance.,2025-03-09,2025-03-22,High,Research,Hannah,10,Research,1
911,Resolve ticket #TKT-2624 on login.,2025-05-31,2025-06-23,Critical,Support,Chloe,9,"Research, Support",7
912,Process payroll for Mar.,2025-03-04,,Critical,Finance,Eve,11,"Finance, HR",5
913,Review QQ1 budget report.,2025-06-11,2025-07-09,Medium,Finance,Ben,5,Finance,8
914,Follow up with Client A.,2025-05-10,2025-05-14,High,Support,Chloe,10,"Research, Support",7
915,Schedule meeting with CTO.,2025-03-18,2025-04-03,High,Admin,Zoe,10,Admin,1
916,Onboard new hire John Doe.,2025-02-14,2025-03-08,Low,HR,Frank,2,"HR, Support",6
917,Schedule interview for Dev.,2025-03-10,2025-03-27,Low,HR,Emily,1,"HR, Finance",1
918,Schedule meeting with CEO.,2025-02-07,2025-02-15,Medium,Admin,Eve,5,"Finance, HR",5
919,Explore trends in tech.,2025-02-20,2025-03-03,Low,Research,Mia,2,Research,0
920,Schedule meeting with CTO.,2025-06-10,2025-06-30,High,Admin,Alice,12,Admin,3
921,Follow up with Customer B.,2025-03-13,2025-03-19,Medium,Support,Bob,11,Support,0
922,Reconcile travel fund records.,2025-07-18,,Critical,Finance,Natalie,10,Finance,7
923,Reconcile petty cash records.,2025-03-22,2025-04-17,Critical,Finance,Felix,2,Finance,6
924,Analyze QQ3 campaign data.,2025-07-23,2025-08-10,Critical,Marketing,Grace,7,Marketing,0
925,Analyze QQ3 campaign data.,2025-04-15,2025-05-14,Critical,Marketing,Isaac,10,"Marketing, HR",2
926,Manage supplies for Branch A.,2025-06-01,,Low,Admin,Zoe,3,Admin,1
927,Implement dashboard in backend.,2025-05-25,2025-05-30,Critical,Development,Rachel,10,"Research, Development",2
928,Update records for promotion.,2025-02-25,,High,HR,Isaac,4,"Marketing, HR",2
929,Build prototype for edge AI.,2025-05-02,2025-05-13,Medium,Research,Hannah,8,Research,1
930,Reconcile petty cash records.,2025-07-10,,High,Finance,Chloe,10,"Research, Support",7
931,Process payroll for Mar.,2025-03-17,2025-03-24,Critical,Finance,Emily,2,"HR, Finance",1
932,Write review on ML trends.,2025-06-09,,Critical,Research,Mia,3,Research,0
933,Implement login in API.,2025-05-15,2025-05-18,Low,Development,Mark,10,"Research, Development",0
934,Explore trends in finance.,2025-06-28,2025-06-29,High,Research,Sam,10,Research,1
935,Deploy v1.7 to production.,2025-05-31,,Critical,Development,Xavier,2,Development,3
936,Update guide on reset password.,2025-06-29,2025-07-23,High,Support,Kevin,9,Development,7
937,Process payroll for Feb.,2025-05-20,2025-06-16,Low,Finance,Victor,8,"HR, Finance",1
938,Refactor payment handler.,2025-07-25,2025-08-23,Medium,Development,Liam,4,Development,0
939,Reconcile travel fund records.,2025-06-01,2025-06-11,Medium,Finance,Eve,3,"Finance, HR",5
940,Schedule meeting with CTO.,2025-03-29,2025-04-16,High,Admin,Zoe,10,Admin,1
941,Update guide on troubleshoot.,2025-07-16,2025-08-01,Critical,Support,Chloe,4,"Research, Support",7
942,Resolve ticket #TKT-9258 on login.,2025-02-24,2025-03-14,High,Support,Eve,12,"Finance, HR",5
943,Organize legal files.,2025-04-18,2025-04-23,Low,Admin,Alice,11,Admin,3
944,Schedule meeting with CEO.,2025-06-08,2025-07-02,High,Admin,Mark,1,"Research, Development",0
945,Design assets for Product Launch.,2025-04-02,2025-04-25,Low,Marketing,Charlie,4,"Marketing, Admin",4
946,Plan HR activity for Q4.,2025-02-03,,Critical,HR,Yara,6,"Admin, Development",6
947,Draft newsletter on company news.,2025-05-31,2025-06-03,Low,Marketing,Ben,5,Finance,8
948,Schedule meeting with CEO.,2025-06-04,2025-06-14,Medium,Admin,Victor,12,"HR, Finance",1
949,Optimize search performance.,2025-07-14,2025-08-03,Medium,Development,Xavier,6,Development,3
950,Explore trends in tech.,2025-06-16,,Critical,Research,Wendy,8,Research,1
951,Update guide on reset password.,2025-07-07,2025-07-14,Critical,Support,Mark,8,"Research, Development",0
952,Update guide on reset password.,2025-07-22,2025-08-19,Low,Support,Frank,2,"HR, Support",6
953,Review QQ2 budget report.,2025-04-24,,Medium,Finance,Ben,10,Finance,8
954,Explore trends in finance.,2025-03-27,2025-03-30,Low,Research,Sam,5,Research,1
955,Plan HR activity for Q4.,2025-07-14,2025-07-15,Medium,HR,Jack,1,Admin,8
956,Research NLP methods.,2025-05-13,2025-06-10,Medium,Research,Victor,7,"HR, Finance",1
957,Schedule interview for Marketer.,2025-02-24,2025-03-08,Critical,HR,Henry,10,"Admin, Support",8
958,Manage supplies for HQ.,2025-07-17,2025-07-20,Low,Admin,Jack,5,Admin,8
959,Build prototype for blockchain.,2025-01-30,2025-02-25,Medium,Research,Sam,7,Research,1
960,Research NLP methods.,2025-06-10,2025-06-28,Medium,Research,Mia,10,Research,0
961,Review QQ2 budget report.,2025-05-04,2025-05-13,Critical,Finance,Natalie,4,Finance,7
962,Audit travel fund expenses.,2025-02-12,2025-02-18,Medium,Finance,Peter,3,Development,8
963,Reconcile travel fund records.,2025-01-28,2025-02-11,Critical,Finance,Oscar,5,Finance,2
964,Organize finance files.,2025-03-22,,Critical,Admin,Charlie,6,"Marketing, Admin",4
965,Follow up with Client A.,2025-07-19,2025-07-29,Low,Support,Isaac,9,"Marketing, HR",2
966,Review QQ4 budget report.,2025-04-16,2025-05-02,Low,Finance,Natalie,12,Finance,7
967,Deploy v1.7 to production.,2025-05-16,,Low,Development,Xavier,11,Development,3
968,Reconcile travel fund records.,2025-05-06,2025-05-09,High,Finance,Peter,9,Development,8
969,Update guide on troubleshoot.,2025-02-04,,Medium,Support,Karen,10,Support,7
970,Process payroll for Mar.,2025-02-25,2025-03-12,Critical,Finance,Ben,11,Finance,8
971,Onboard new hire Jane Smith.,2025-02-22,2025-02-23,High,HR,Isaac,3,"Marketing, HR",2
972,Write review on DL models.,2025-01-30,2025-02-22,High,Research,Olivia,9,Research,3
973,Write review on ML trends.,2025-02-22,2025-03-07,Critical,Research,Mark,3,"Research, Development",0
974,Process payroll for Mar.,2025-02-04,2025-03-01,High,Finance,Felix,8,Finance,6
975,Manage supplies for HQ.,2025-04-01,2025-04-17,Low,Admin,Yara,8,"Admin, Development",6
976,Organize legal files.,2025-06-10,2025-06-15,Critical,Admin,Tina,5,Development,0
977,Review QQ2 budget report.,2025-01-31,2025-02-01,Critical,Finance,Uma,10,"Finance, Admin",1
978,Organize legal files.,2025-07-08,,Critical,Admin,Yara,8,"Admin, Development",6
979,Process payroll for Jan.,2025-05-21,2025-06-19,High,Finance,Emily,9,"HR, Finance",1
980,Write review on DL models.,2025-07-22,2025-07-30,Critical,Research,Sam,10,Research,1
981,Fix bug #955 in UI.,2025-05-15,2025-06-09,Low,Development,Xavier,6,Development,3
982,Organize legal files.,2025-05-23,2025-06-16,Medium,Admin,Noah,9,"Research, Development",4
983,Manage supplies for HQ.,2025-03-03,2025-03-07,Low,Admin,Alice,8,Admin,3
984,Audit petty cash expenses.,2025-07-15,2025-08-04,Critical,Finance,Bob,1,Support,0
985,Process payroll for Jan.,2025-05-30,2025-06-28,Critical,Finance,Tina,9,Development,0
986,Design assets for Product Launch.,2025-03-24,2025-04-02,High,Marketing,Isaac,3,"Marketing, HR",2
987,Deploy v1.7 to production.,2025-05-28,2025-06-07,Critical,Development,Peter,11,Development,8
988,Explore trends in tech.,2025-07-21,2025-08-12,High,Research,Alex,10,Research,8
989,Assist with subscription.,2025-07-15,2025-07-30,Low,Support,David,2,Development,6
990,Resolve ticket #TKT-2624 on billing.,2025-01-27,2025-02-11,Critical,Support,Bob,5,Support,0
991,Update travel log for Sarah D..,2025-05-06,2025-05-21,High,Admin,Kevin,11,Development,7
992,Manage supplies for Branch A.,2025-06-06,2025-06-21,Low,Admin,Wendy,11,Research,1
993,Optimize encryption performance.,2025-04-30,2025-05-06,High,Development,Yara,3,"Admin, Development",6
994,Manage supplies for HQ.,2025-02-05,2025-02-27,Medium,Admin,Uma,6,"Finance, Admin",1
995,Organize finance files.,2025-05-19,,Critical,Admin,Ivy,7,Admin,4
996,Research NLP methods.,2025-05-19,2025-06-02,Medium,Research,Daniel,1,Research,4
997,Prepare pitch for AI Tool.,2025-06-12,2025-07-04,Low,Marketing,Mia,4,Research,0
998,Schedule meeting with CEO.,2025-03-03,2025-03-14,Medium,Admin,Charlie,7,"Marketing, Admin",4
999,Review QQ3 budget report.,2025-05-12,2025-05-23,Critical,Finance,Alice,5,Admin,3
1000,Reconcile travel fund records.,2025-04-01,2025-04-04,High,Finance,Eve,12,"Finance, HR",5
1001,Research Vision methods.,2025-02-03,2025-03-02,Critical,Research,Hannah,5,Research,1
1002,Organize finance files.,2025-06-22,2025-07-09,Low,Admin,Mia,7,Research,0
1003,Implement login in backend.,2025-06-16,,Medium,Development,Xavier,8,Development,3
1004,Review QQ4 budget report.,2025-02-20,2025-03-22,Critical,Finance,Victor,4,"HR, Finance",1
1005,Follow up with Customer B.,2025-07-19,2025-08-06,Low,Support,David,5,Development,6
1006,Draft newsletter on new features.,2025-02-04,,Low,Marketing,David,1,Development,6
1007,Fix bug #550 in UI.,2025-05-15,2025-05-25,Low,Development,Liam,2,Development,0
1008,Audit travel fund expenses.,2025-05-27,,Critical,Finance,Ben,7,Finance,8
1009,Design assets for Product Launch.,2025-02-01,2025-02-21,Low,Marketing,Henry,10,"Admin, Support",8
1010,Fix bug #500 in UI.,2025-07-25,2025-08-05,High,Development,Liam,3,Development,0
1011,Fix bug #210 in UI.,2025-06-12,2025-07-02,Medium,Development,Mark,8,"Research, Development",0
1012,Update guide on troubleshoot.,2025-07-02,2025-07-30,High,Support,Bob,5,Support,0
1013,Research NLP methods.,2025-02-17,2025-03-04,Low,Research,Alex,3,Research,8
1014,Explore trends in tech.,2025-01-27,2025-02-20,Critical,Research,Alex,9,Research,8
1015,Write review on DL models.,2025-04-29,2025-05-21,Critical,Research,Alex,9,Research,8
1016,Explore trends in finance.,2025-07-11,2025-07-20,Medium,Research,Chloe,8,"Research, Support",7
1017,Write review on ML trends.,2025-03-10,2025-04-01,Medium,Research,Wendy,1,Research,1
1018,Deploy v1.7 to production.,2025-02-13,,High,Development,Kevin,12,Development,7
1019,Build prototype for blockchain.,2025-06-27,2025-07-16,Low,Research,Mia,2,Research,0
1020,Explore trends in tech.,2025-06-06,2025-06-26,Low,Research,Chloe,3,"Research, Support",7
1021,Organize legal files.,2025-07-02,2025-07-07,Critical,Admin,Ivy,12,Admin,4
1022,Write review on ML trends.,2025-02-20,2025-03-14,Critical,Research,Alex,2,Research,8
1023,Build prototype for blockchain.,2025-02-06,2025-02-20,Critical,Research,Alex,7,Research,8
1024,Manage supplies for Branch A.,2025-07-21,2025-07-25,High,Admin,Jack,3,Admin,8
1025,Explore trends in finance.,2025-04-17,2025-05-01,High,Research,Hannah,5,Research,1
1026,Explore trends in tech.,2025-04-27,2025-05-14,High,Research,Chloe,3,"Research, Support",7
1027,Process payroll for Feb.,2025-05-09,2025-05-18,High,Finance,Noah,7,"Research, Development",4
1028,Refactor auth module.,2025-04-06,,Critical,Development,Sam,10,Research,1
1029,Plan HR activity for Q2.,2025-03-30,2025-04-11,Low,HR,Mia,1,Research,0
1030,Audit petty cash expenses.,2025-02-19,2025-03-02,High,Finance,Emily,8,"HR, Finance",1
1031,Implement dashboard in API.,2025-02-27,2025-03-14,Medium,Development,Tina,4,Development,0
1032,Process payroll for Feb.,2025-07-12,,High,Finance,Emily,2,"HR, Finance",1
1033,Reconcile petty cash records.,2025-02-10,2025-03-06,High,Finance,Oscar,1,Finance,2
1034,Optimize search performance.,2025-03-29,2025-04-24,Critical,Development,Kevin,12,Development,7
1035,Research Vision methods.,2025-03-01,2025-03-24,High,Research,Olivia,2,Research,3
1036,Write review on DL models.,2025-03-17,,Medium,Research,Sam,12,Research,1
1037,Review QQ1 budget report.,2025-05-24,,High,Finance,Xavier,4,Development,3
1038,Organize legal files.,2025-05-07,2025-06-06,Critical,Admin,Alice,7,Admin,3
1039,Schedule meeting with CEO.,2025-06-11,2025-07-10,High,Admin,Jack,1,Admin,8
1040,Analyze QQ1 campaign data.,2025-04-13,2025-04-20,High,Marketing,Tina,5,Development,0
1041,Optimize encryption performance.,2025-03-16,2025-04-07,Medium,Development,Mark,11,"Research, Development",0
1042,Analyze QQ3 campaign data.,2025-02-04,2025-03-02,High,Marketing,Grace,2,Marketing,0
1043,Onboard new hire Jane Smith.,2025-06-13,2025-06-16,High,HR,Victor,1,"HR, Finance",1
1044,Research NLP methods.,2025-03-19,,Medium,Research,Sam,3,Research,1
1045,Optimize search performance.,2025-04-06,2025-04-18,High,Development,Peter,9,Development,8
1046,Onboard new hire John Doe.,2025-03-22,,Low,HR,Jessica,10,HR,7
1047,Manage supplies for HQ.,2025-03-27,2025-04-01,Low,Admin,Grace,1,Marketing,0
1048,Organize finance files.,2025-05-08,2025-06-01,Critical,Admin,Zoe,11,Admin,1
1049,Update travel log for Chris W..,2025-07-04,2025-07-19,Low,Admin,Quinn,12,Research,2
1050,Optimize search performance.,2025-07-08,,High,Development,Yara,1,"Admin, Development",6
1051,Update travel log for Sarah D..,2025-04-02,2025-04-17,High,Admin,Ivy,6,Admin,4
1052,Refactor payment handler.,2025-03-22,,High,Development,Wendy,7,Research,1
1053,Fix bug #532 in auth.,2025-06-19,2025-07-05,Medium,Development,Kevin,9,Development,7
1054,Draft newsletter on new features.,2025-05-16,2025-05-21,Low,Marketing,Grace,3,Marketing,0
1055,Update travel log for Sarah D..,2025-06-30,,High,Admin,Jack,10,Admin,8
1056,Research NLP methods.,2025-02-17,,Critical,Research,Olivia,12,Research,3
1057,Update records for address update.,2025-05-07,2025-05-23,Low,HR,Charlie,10,"Marketing, Admin",4
1058,Explore trends in tech.,2025-06-04,2025-06-27,Low,Research,Olivia,12,Research,3
1059,Analyze QQ2 campaign data.,2025-03-07,2025-03-24,Low,Marketing,Daniel,4,Research,4
1060,Implement login in API.,2025-07-06,2025-07-09,Medium,Development,Mark,9,"Research, Development",0
1061,Assist with subscription.,2025-07-24,2025-08-16,Medium,Support,Lily,6,"Research, Support",2
1062,Update records for address update.,2025-06-24,2025-06-27,Low,HR,Jessica,12,HR,7
1063,Fix bug #550 in UI.,2025-03-18,2025-03-29,Low,Development,Alice,3,Admin,3
1064,Implement login in backend.,2025-04-25,2025-05-01,Medium,Development,Xavier,9,Development,3
1065,Schedule meeting with CTO.,2025-07-01,2025-07-23,High,Admin,Jack,8,Admin,8
1066,Explore trends in tech.,2025-07-25,2025-08-20,Critical,Research,Mia,11,Research,0
1067,Review QQ1 budget report.,2025-06-26,2025-07-01,Low,Finance,Natalie,4,Finance,7
1068,Onboard new hire Jane Smith.,2025-05-15,2025-05-22,Medium,HR,Peter,6,Development,8
1069,Implement login in backend.,2025-06-25,2025-07-03,Critical,Development,David,4,Development,6
1070,Fix bug #550 in auth.,2025-03-06,2025-03-21,Low,Development,Peter,12,Development,8
1071,Research Vision methods.,2025-05-23,2025-05-26,High,Research,Sam,4,Research,1
1072,Resolve ticket #TKT-5035 on login.,2025-03-01,2025-03-23,High,Support,Karen,6,Support,7
1073,Organize legal files.,2025-03-02,2025-03-27,Medium,Admin,Ivy,9,Admin,4
1074,Manage supplies for HQ.,2025-04-11,2025-05-07,Medium,Admin,Henry,1,"Admin, Support",8
1075,Write review on ML trends.,2025-03-19,2025-04-03,Critical,Research,Mia,9,Research,0
1076,Resolve ticket #TKT-5699 on billing.,2025-03-17,2025-04-04,High,Support,Bob,6,Support,0
1077,Analyze QQ2 campaign data.,2025-04-12,2025-05-09,Critical,Marketing,Isaac,2,"Marketing, HR",2
1078,Follow up with Customer B.,2025-04-11,2025-05-10,Critical,Support,Frank,1,"HR, Support",6
1079,Organize legal files.,2025-04-04,2025-04-14,Low,Admin,Henry,9,"Admin, Support",8
1080,Optimize encryption performance.,2025-01-27,2025-02-24,Critical,Development,Mark,3,"Research, Development",0
1081,Update guide on troubleshoot.,2025-03-20,,Medium,Support,Henry,1,"Admin, Support",8
1082,Update travel log for Chris W..,2025-03-26,,Critical,Admin,Zoe,6,Admin,1
1083,Deploy v1.7 to production.,2025-05-06,2025-05-20,Critical,Development,Xavier,1,Development,3
1084,Design assets for Product Launch.,2025-05-22,2025-05-25,High,Marketing,Oscar,9,Finance,2
1085,Follow up with Customer B.,2025-06-20,2025-07-06,Low,Support,Mark,11,"Research, Development",0
1086,Audit petty cash expenses.,2025-03-18,2025-03-23,High,Finance,Uma,8,"Finance, Admin",1
1087,Audit travel fund expenses.,2025-05-22,2025-06-05,Critical,Finance,Natalie,12,Finance,7
1088,Refactor auth module.,2025-03-06,,Low,Development,Rachel,7,"Research, Development",2
1089,Deploy v1.7 to production.,2025-04-14,2025-04-26,Critical,Development,David,3,Development,6
1090,Research NLP methods.,2025-07-05,,Low,Research,Lily,12,"Research, Support",2
1091,Refactor payment handler.,2025-04-18,2025-05-10,Medium,Development,Peter,5,Development,8
1092,Manage supplies for HQ.,2025-06-25,2025-07-11,Critical,Admin,Jessica,1,HR,7
1093,Fix bug #532 in UI.,2025-04-13,2025-04-27,Critical,Development,Kevin,7,Development,7
1094,Update guide on troubleshoot.,2025-03-31,2025-04-10,Critical,Support,Lily,7,"Research, Support",2
1095,Audit travel fund expenses.,2025-04-10,2025-04-18,Low,Finance,Olivia,4,Research,3
1096,Audit petty cash expenses.,2025-02-05,2025-02-14,High,Finance,Victor,7,"HR, Finance",1
1097,Refactor auth module.,2025-04-23,2025-05-04,Critical,Development,Daniel,12,Research,4
1098,Organize finance files.,2025-06-30,,Low,Admin,Charlie,7,"Marketing, Admin",4
1099,Schedule meeting with CTO.,2025-04-22,,High,Admin,Alice,11,Admin,3
1100,Explore trends in finance.,2025-03-02,,Low,Research,Alex,9,Research,8
1101,Explore trends in finance.,2025-04-25,2025-05-15,Medium,Research,Quinn,4,Research,2
1102,Analyze QQ4 campaign data.,2025-05-31,2025-06-20,Low,Marketing,Mia,12,Research,0
1103,Resolve ticket #TKT-5366 on login.,2025-03-19,2025-03-29,High,Support,Victor,1,"HR, Finance",1
1104,Draft newsletter on company news.,2025-06-15,2025-07-02,High,Marketing,Sam,8,Research,1
1105,Schedule meeting with CEO.,2025-02-11,2025-03-10,Medium,Admin,Charlie,1,"Marketing, Admin",4
1106,Onboard new hire Jane Smith.,2025-02-02,2025-02-16,Low,HR,Wendy,2,Research,1
1107,Update travel log for Chris W..,2025-04-29,2025-05-05,Medium,Admin,Jack,12,Admin,8
1108,Deploy v1.7 to production.,2025-05-03,2025-05-28,Low,Development,Kevin,12,Development,7
1109,Fix bug #486 in UI.,2025-03-29,,High,Development,Xavier,9,Development,3
1110,Explore trends in finance.,2025-03-12,,Medium,Research,Sam,2,Research,1
1111,Analyze QQ4 campaign data.,2025-01-31,2025-02-01,Medium,Marketing,Peter,5,Development,8
1112,Update travel log for Chris W..,2025-04-20,2025-05-18,Medium,Admin,Liam,5,Development,0
1113,Review QQ2 budget report.,2025-03-19,2025-03-23,High,Finance,Ben,5,Finance,8
1114,Review QQ2 budget report.,2025-03-18,2025-04-01,High,Finance,Uma,11,"Finance, Admin",1
1115,Implement login in API.,2025-04-18,2025-04-25,Medium,Development,Tina,11,Development,0
1116,Schedule meeting with CEO.,2025-07-06,2025-07-10,Critical,Admin,Uma,5,"Finance, Admin",1
1117,Resolve ticket #TKT-5366 on login.,2025-06-02,2025-06-10,High,Support,Mia,5,Research,0
1118,Process payroll for Feb.,2025-03-04,2025-03-11,High,Finance,Emily,1,"HR, Finance",1
